filename,class,indicator,compliant,binary,domain,split
Tomato_Leaf_Mold__8ec82028-24e9-4bb8-8c36-31a42189790e___Crnl_L.Mold 8783.JPG,Tomato_Leaf_Mold,fungal_blight,False,0,agriculture,train
Tomato_Leaf_Mold__21dc5583-337e-4f14-9e93-ec084c464849___Crnl_L.Mold 6517.JPG,Tomato_Leaf_Mold,fungal_blight,False,0,agriculture,train
Tomato__Target_Spot__198836e7-53b2-41b0-b87a-e43f7d804dd2___Com.G_TgS_FL 8313.JPG,Tomato__Target_Spot,leaf_disease,False,0,agriculture,train
Pepper__bell___Bacterial_spot__c91abd9b-94e4-401a-893d-a93956048f54___JR_B.Spot 3124.JPG,Pepper__bell___Bacterial_spot,bacterial_infection,False,0,agriculture,train
Tomato_Septoria_leaf_spot__f43ce703-8d4d-4e97-8e23-788f56338c09___Matt.S_CG 6660.JPG,Tomato_Septoria_leaf_spot,leaf_disease,False,0,agriculture,train
Potato___Late_blight__6463a976-e8e1-4698-8044-c1b6db0ef5ee___RS_LB 4741.JPG,Potato___Late_blight,fungal_blight,False,0,agriculture,train
Tomato__Tomato_mosaic_virus__8b43c3f3-73ae-47bc-a620-079ebeeb10a4___PSU_CG 2094.JPG,Tomato__Tomato_mosaic_virus,viral_infection,False,0,agriculture,train
Tomato__Tomato_mosaic_virus__7395917b-a4d4-4156-9bd8-55b4a4dc5022___PSU_CG 2207.JPG,Tomato__Tomato_mosaic_virus,viral_infection,False,0,agriculture,train
Tomato_Leaf_Mold__ec76173b-c354-4711-9bb7-b38dae1ea5b4___Crnl_L.Mold 9074.JPG,Tomato_Leaf_Mold,fungal_blight,False,0,agriculture,train
Pepper__bell___Bacterial_spot__36aa1467-175d-42d0-8da3-99e8ffd06fbe___NREC_B.Spot 1905.JPG,Pepper__bell___Bacterial_spot,bacterial_infection,False,0,agriculture,train
Tomato_Spider_mites_Two_spotted_spider_mite__68c4091d-9241-4760-bd93-9ed2463a7a48___Com.G_SpM_FL 1489.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,pest_infestation,False,0,agriculture,train
Tomato__Target_Spot__b648c02d-081a-4511-8f1f-f24c7f21093f___Com.G_TgS_FL 0806.JPG,Tomato__Target_Spot,leaf_disease,False,0,agriculture,train
Tomato_Early_blight__f834c581-d183-4a7a-98a5-77e8e2cbfa69___RS_Erly.B 7722.JPG,Tomato_Early_blight,fungal_blight,False,0,agriculture,train
Tomato__Tomato_mosaic_virus__0e56889c-7e80-49f3-8da3-3a437244e8fd___PSU_CG 2140.JPG,Tomato__Tomato_mosaic_virus,viral_infection,False,0,agriculture,train
Pepper__bell___healthy__d9078c6d-9a57-43d5-bd00-e2a7fd93f881___JR_HL 8738.JPG,Pepper__bell___healthy,crop_healthy,True,1,agriculture,train
Potato___healthy__875d6ded-5f01-495c-a945-ad2e17f87f91___RS_HL 1848.JPG,Potato___healthy,crop_healthy,True,1,agriculture,train
Tomato_Late_blight__275e6226-c0a6-482d-b382-da22452db846___GHLB2 Leaf 8607.JPG,Tomato_Late_blight,fungal_blight,False,0,agriculture,train
Tomato_healthy__6120d8df-66a3-45c1-ae2f-bb8065928df4___RS_HL 0420.JPG,Tomato_healthy,crop_healthy,True,1,agriculture,train
Tomato_Bacterial_spot__0f6384da-7338-4309-b6b2-0d4b1dfe9de3___GCREC_Bact.Sp 6039.JPG,Tomato_Bacterial_spot,bacterial_infection,False,0,agriculture,train
Potato___Late_blight__1f84da28-3025-4cc0-8815-5b6b60205956___RS_LB 3326.JPG,Potato___Late_blight,fungal_blight,False,0,agriculture,train
Pepper__bell___Bacterial_spot__d7ab068b-694f-4a0e-8e72-ad065d9e7022___NREC_B.Spot 1834.JPG,Pepper__bell___Bacterial_spot,bacterial_infection,False,0,agriculture,train
Tomato_Late_blight__2325473b-e5b1-42b2-a569-647f3db554bb___GHLB2 Leaf 157.JPG,Tomato_Late_blight,fungal_blight,False,0,agriculture,train
Potato___Late_blight__ab72ec63-290e-4e95-ab0a-b551ed44ab3b___RS_LB 3286.JPG,Potato___Late_blight,fungal_blight,False,0,agriculture,train
Tomato_Early_blight__e3aef05b-9ed6-421c-a44d-82a996b3e3bb___RS_Erly.B 7803.JPG,Tomato_Early_blight,fungal_blight,False,0,agriculture,train
Potato___Early_blight__ee584747-fea1-4d16-9c03-40bfc9bcf1c7___RS_Early.B 8600.JPG,Potato___Early_blight,fungal_blight,False,0,agriculture,train
Pepper__bell___healthy__226a6fd3-6624-4360-8637-3755f4acd3fb___JR_HL 5898.JPG,Pepper__bell___healthy,crop_healthy,True,1,agriculture,train
Pepper__bell___healthy__6f13ae9f-a9e0-46e3-8e5a-445c4f16898a___JR_HL 8283.JPG,Pepper__bell___healthy,crop_healthy,True,1,agriculture,train
Tomato_Early_blight__484250ea-cc2c-4614-bee8-7f24007e00ac___RS_Erly.B 9463.JPG,Tomato_Early_blight,fungal_blight,False,0,agriculture,train
Tomato_Early_blight__29fb6588-a368-4143-9cdd-8a131f0d50f4___RS_Erly.B 7779.JPG,Tomato_Early_blight,fungal_blight,False,0,agriculture,train
Tomato_Late_blight__cf848353-3cc5-4d85-95ae-453c7da065f4___RS_Late.B 6756.JPG,Tomato_Late_blight,fungal_blight,False,0,agriculture,train
Tomato__Tomato_YellowLeaf__Curl_Virus__61c852b0-4a6d-4c52-a394-7dfcfc714a8a___YLCV_NREC 0080.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,viral_infection,False,0,agriculture,train
Potato___Early_blight__4a35b485-4f57-471a-a2cc-d5d7ebd41c40___RS_Early.B 7651.JPG,Potato___Early_blight,fungal_blight,False,0,agriculture,train
Tomato__Target_Spot__90cc8935-7782-41f6-b7ba-61e8f19f3dd2___Com.G_TgS_FL 0644.JPG,Tomato__Target_Spot,leaf_disease,False,0,agriculture,train
Tomato_Leaf_Mold__4cfebe0b-f6de-4114-b76c-57a06e3db769___Crnl_L.Mold 9085.JPG,Tomato_Leaf_Mold,fungal_blight,False,0,agriculture,train
Pepper__bell___healthy__d009f25f-266f-4369-b6d1-11e5fea7a08f___JR_HL 7816.JPG,Pepper__bell___healthy,crop_healthy,True,1,agriculture,train
Potato___healthy__8c1e1281-5937-4559-a02f-02817de6e122___RS_HL 4173.JPG,Potato___healthy,crop_healthy,True,1,agriculture,train
Tomato_Leaf_Mold__29e4f2d6-7cbe-4f7e-84cd-a1f57957a35e___Crnl_L.Mold 6569.JPG,Tomato_Leaf_Mold,fungal_blight,False,0,agriculture,train
Tomato__Tomato_mosaic_virus__33f5422e-7889-4ab4-ab53-93507cc83f78___PSU_CG 2261.JPG,Tomato__Tomato_mosaic_virus,viral_infection,False,0,agriculture,train
Tomato_Late_blight__601bb6d6-6959-40d1-b0f4-5f7030172995___GHLB2 Leaf 126.JPG,Tomato_Late_blight,fungal_blight,False,0,agriculture,train
Pepper__bell___healthy__9810e1af-6c21-4297-b835-330674a5f9d8___JR_HL 8609.JPG,Pepper__bell___healthy,crop_healthy,True,1,agriculture,train
Pepper__bell___healthy__37829073-ac95-4e17-a0d2-56bfb8358ebf___JR_HL 7819.JPG,Pepper__bell___healthy,crop_healthy,True,1,agriculture,train
Tomato_healthy__d4091850-464c-4655-9edc-395f43c365e9___RS_HL 9657.JPG,Tomato_healthy,crop_healthy,True,1,agriculture,train
Pepper__bell___Bacterial_spot__eabaa1bb-a866-4670-887e-3d9897c31fae___JR_B.Spot 3274.JPG,Pepper__bell___Bacterial_spot,bacterial_infection,False,0,agriculture,train
Pepper__bell___healthy__858475a8-dc6d-432d-862a-1a982f482c8e___JR_HL 5912.JPG,Pepper__bell___healthy,crop_healthy,True,1,agriculture,train
Tomato__Tomato_YellowLeaf__Curl_Virus__38b0c6c6-0b50-491f-8889-181709be26ea___YLCV_NREC 2026.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,viral_infection,False,0,agriculture,train
Tomato__Tomato_YellowLeaf__Curl_Virus__42af617f-6bce-47e9-b9c7-ef84034a5bb2___UF.GRC_YLCV_Lab 09540.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,viral_infection,False,0,agriculture,train
Pepper__bell___healthy__e464db4e-8538-40a8-9012-7a5143bdf693___JR_HL 7882.JPG,Pepper__bell___healthy,crop_healthy,True,1,agriculture,train
Tomato__Tomato_mosaic_virus__99a4b1cb-e55a-4954-a7c5-ebb0cc57ed2a___PSU_CG 2096.JPG,Tomato__Tomato_mosaic_virus,viral_infection,False,0,agriculture,train
Tomato_Late_blight__2d63d91d-5366-4f88-83e1-cc5ce4b16d2e___GHLB2 Leaf 156.1.JPG,Tomato_Late_blight,fungal_blight,False,0,agriculture,train
Tomato__Target_Spot__cf65fba9-5bc8-422f-ac2b-8991e4048572___Com.G_TgS_FL 7871.JPG,Tomato__Target_Spot,leaf_disease,False,0,agriculture,train
Tomato_Septoria_leaf_spot__0b4886e5-a065-44c1-aa19-bd166922d3de___JR_Sept.L.S 8498.JPG,Tomato_Septoria_leaf_spot,leaf_disease,False,0,agriculture,train
Tomato_Bacterial_spot__5b65716f-ed7d-42cc-b9b6-c7712782f366___UF.GRC_BS_Lab Leaf 9230.JPG,Tomato_Bacterial_spot,bacterial_infection,False,0,agriculture,train
Tomato_Septoria_leaf_spot__cd6c24ea-037a-4d83-b2c8-24616da8ff46___Keller.St_CG 1883.JPG,Tomato_Septoria_leaf_spot,leaf_disease,False,0,agriculture,train
Tomato_healthy__32a852af-ca60-4235-806a-21940281ed8b___RS_HL 0625.JPG,Tomato_healthy,crop_healthy,True,1,agriculture,train
Tomato_Early_blight__ab26012b-d88e-4b69-b985-1cba46315762___RS_Erly.B 9468.JPG,Tomato_Early_blight,fungal_blight,False,0,agriculture,train
Pepper__bell___healthy__95e9a8bc-0e29-4afc-b563-9940a633bab5___JR_HL 7933.JPG,Pepper__bell___healthy,crop_healthy,True,1,agriculture,train
Pepper__bell___Bacterial_spot__00f2e69a-1e56-412d-8a79-fdce794a17e4___JR_B.Spot 3132.JPG,Pepper__bell___Bacterial_spot,bacterial_infection,False,0,agriculture,train
Tomato_Leaf_Mold__2847f847-3048-487d-ae4f-c45e44d04d85___Crnl_L.Mold 8878.JPG,Tomato_Leaf_Mold,fungal_blight,False,0,agriculture,train
Tomato_Spider_mites_Two_spotted_spider_mite__57c860fb-5102-433d-a7ec-09e540fb4866___Com.G_SpM_FL 1688.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,pest_infestation,False,0,agriculture,train
Potato___Late_blight__465669d7-b75c-4aab-8ccc-af3566baf2e3___RS_LB 4985.JPG,Potato___Late_blight,fungal_blight,False,0,agriculture,train
Tomato_Bacterial_spot__fd39fa01-b5c6-443d-a5f8-5e6edee2fdf8___GCREC_Bact.Sp 3154.JPG,Tomato_Bacterial_spot,bacterial_infection,False,0,agriculture,train
Tomato__Target_Spot__689e6cdd-f966-49eb-a3d1-2f9ce922bdbe___Com.G_TgS_FL 7935.JPG,Tomato__Target_Spot,leaf_disease,False,0,agriculture,train
Tomato_Spider_mites_Two_spotted_spider_mite__e2537d47-96e5-487c-ba9a-a7feef92fd3b___Com.G_SpM_FL 8446.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,pest_infestation,False,0,agriculture,train
Pepper__bell___Bacterial_spot__8e0378a5-e4c7-406a-bc7d-b3844a7b8811___JR_B.Spot 8868.JPG,Pepper__bell___Bacterial_spot,bacterial_infection,False,0,agriculture,train
Potato___Early_blight__13e2be1d-56bc-40c6-b5d1-e3bafc1b111e___RS_Early.B 8830.JPG,Potato___Early_blight,fungal_blight,False,0,agriculture,train
Pepper__bell___Bacterial_spot__ed668b2e-9249-4905-b5ea-9ef6bb4417dd___NREC_B.Spot 1974.JPG,Pepper__bell___Bacterial_spot,bacterial_infection,False,0,agriculture,train
Tomato_healthy__c8b14af0-f81f-474d-8fa9-aa3f5b05c618___RS_HL 0532.JPG,Tomato_healthy,crop_healthy,True,1,agriculture,train
Potato___Late_blight__d6fd274a-f184-482f-8043-b2fff10644ee___RS_LB 3962.JPG,Potato___Late_blight,fungal_blight,False,0,agriculture,train
Tomato_Septoria_leaf_spot__85078c60-8c80-4e59-844c-351693a46cbe___Matt.S_CG 2736.JPG,Tomato_Septoria_leaf_spot,leaf_disease,False,0,agriculture,train
Tomato_Early_blight__e81dfd96-227c-41a7-8cf8-dbc14f2e4b33___RS_Erly.B 7407.JPG,Tomato_Early_blight,fungal_blight,False,0,agriculture,train
Potato___Early_blight__81bc4d94-be1f-4127-8203-da3ae29aa3d5___RS_Early.B 7305.JPG,Potato___Early_blight,fungal_blight,False,0,agriculture,train
Tomato_Early_blight__7b7780c0-f1b2-4095-924c-f3d7777b427e___RS_Erly.B 9613.JPG,Tomato_Early_blight,fungal_blight,False,0,agriculture,train
Potato___Early_blight__4da46a9d-7709-4528-acc3-a7be6ace3714___RS_Early.B 7187.JPG,Potato___Early_blight,fungal_blight,False,0,agriculture,train
Tomato_healthy__ebdffabc-9920-4d0b-9f7d-7fb3ee5b731e___RS_HL 0099.JPG,Tomato_healthy,crop_healthy,True,1,agriculture,train
Pepper__bell___Bacterial_spot__e1c5cd9c-d181-42b8-95cc-e45538f21d12___NREC_B.Spot 1864.JPG,Pepper__bell___Bacterial_spot,bacterial_infection,False,0,agriculture,train
Potato___healthy__5cb360dd-5c17-4c57-b31d-97cd8dd8d0bd___RS_HL 1797.JPG,Potato___healthy,crop_healthy,True,1,agriculture,train
Tomato__Tomato_YellowLeaf__Curl_Virus__7250d8a2-1582-4f29-8f24-65484d8fce33___UF.GRC_YLCV_Lab 03347.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,viral_infection,False,0,agriculture,train
Potato___Early_blight__2dc9baab-663f-4f09-a0a4-7c07edfb4c42___RS_Early.B 6866.JPG,Potato___Early_blight,fungal_blight,False,0,agriculture,train
Tomato__Tomato_mosaic_virus__eb04ce63-3a56-4ed4-abad-124215f10cae___PSU_CG 2264.JPG,Tomato__Tomato_mosaic_virus,viral_infection,False,0,agriculture,train
Potato___Early_blight__82927769-4d4a-4f19-a806-a02f435ad17d___RS_Early.B 7886.JPG,Potato___Early_blight,fungal_blight,False,0,agriculture,train
Potato___healthy__7bfda067-6e35-4af5-a9c4-4b3b5f357871___RS_HL 1813.JPG,Potato___healthy,crop_healthy,True,1,agriculture,train
Tomato_Late_blight__eda41abe-61cf-439d-9562-e03fee3cd2ca___GHLB2 Leaf 8802.JPG,Tomato_Late_blight,fungal_blight,False,0,agriculture,train
Pepper__bell___Bacterial_spot__4307f7a4-e666-40ee-a2b5-ff9c4e3e70e1___JR_B.Spot 3109.JPG,Pepper__bell___Bacterial_spot,bacterial_infection,False,0,agriculture,train
Pepper__bell___healthy__7c8b6274-abca-4531-a84d-5bd56c859ccc___JR_HL 8794.JPG,Pepper__bell___healthy,crop_healthy,True,1,agriculture,train
Potato___Late_blight__b5f127d1-1b1a-4baa-9158-58cf4b679990___RS_LB 4488.JPG,Potato___Late_blight,fungal_blight,False,0,agriculture,train
Tomato__Target_Spot__6f32358e-0f05-4eb8-94b6-ac3baaa66220___Com.G_TgS_FL 1086.JPG,Tomato__Target_Spot,leaf_disease,False,0,agriculture,train
Tomato__Tomato_YellowLeaf__Curl_Virus__6ff8f2bf-6ba0-417b-8f85-736d191eca9b___YLCV_GCREC 2835.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,viral_infection,False,0,agriculture,train
Pepper__bell___healthy__e3ff1fdf-81d0-4089-b76d-f2390159a247___JR_HL 8462.JPG,Pepper__bell___healthy,crop_healthy,True,1,agriculture,train
Tomato_Late_blight__78122366-5c83-4d3f-97b0-b7135181738b___GHLB Leaf 1 Day 1.JPG,Tomato_Late_blight,fungal_blight,False,0,agriculture,train
Pepper__bell___Bacterial_spot__ea679763-149c-44b1-9593-e82242f303cb___NREC_B.Spot 1985.JPG,Pepper__bell___Bacterial_spot,bacterial_infection,False,0,agriculture,train
Tomato__Tomato_YellowLeaf__Curl_Virus__168f2ebf-3c70-4857-b779-7448dab4e120___UF.GRC_YLCV_Lab 03038.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,viral_infection,False,0,agriculture,train
Potato___Early_blight__cdc5ed26-b023-41cb-9cd8-07e62df1e369___RS_Early.B 6864.JPG,Potato___Early_blight,fungal_blight,False,0,agriculture,train
Pepper__bell___Bacterial_spot__e91037f2-392c-45de-a2eb-2abd31ca3089___JR_B.Spot 3267.JPG,Pepper__bell___Bacterial_spot,bacterial_infection,False,0,agriculture,train
Pepper__bell___healthy__de8f27ad-c53f-4481-affe-174d3690d559___JR_HL 8562.JPG,Pepper__bell___healthy,crop_healthy,True,1,agriculture,train
Tomato_Spider_mites_Two_spotted_spider_mite__1bb271cf-e12d-4536-a164-9a6a87002cd0___Com.G_SpM_FL 1593.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,pest_infestation,False,0,agriculture,train
Tomato_Leaf_Mold__72195027-eef6-4b92-8a7e-9d60842f6e97___Crnl_L.Mold 9151.JPG,Tomato_Leaf_Mold,fungal_blight,False,0,agriculture,train
Tomato_healthy__438c4ac5-5409-4859-9fe4-3077af7425b2___RS_HL 0157.JPG,Tomato_healthy,crop_healthy,True,1,agriculture,train
Tomato_Spider_mites_Two_spotted_spider_mite__2e41d72c-c68b-44f1-8380-ece84ab98bfd___Com.G_SpM_FL 1727.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,pest_infestation,False,0,agriculture,train
Pepper__bell___Bacterial_spot__ee596e36-e147-429a-bcf7-de47de0470c0___JR_B.Spot 3104.JPG,Pepper__bell___Bacterial_spot,bacterial_infection,False,0,agriculture,train
Pepper__bell___Bacterial_spot__6e698a9c-27ae-4ebb-a041-c8f06a69d664___JR_B.Spot 3133.JPG,Pepper__bell___Bacterial_spot,bacterial_infection,False,0,agriculture,train
Tomato_Early_blight__f432e10d-7fd7-4517-b635-cc7677f53d8e___RS_Erly.B 9590.JPG,Tomato_Early_blight,fungal_blight,False,0,agriculture,train
Tomato_healthy__5df79085-2c00-41d6-ac0f-33a831a16d89___RS_HL 9634.JPG,Tomato_healthy,crop_healthy,True,1,agriculture,train
Potato___Late_blight__68decf28-de55-477f-9435-56cda245a7ca___RS_LB 3195.JPG,Potato___Late_blight,fungal_blight,False,0,agriculture,train
Tomato_Septoria_leaf_spot__7766c624-4ac3-4983-a668-5a0cc63b41b2___Matt.S_CG 0670.JPG,Tomato_Septoria_leaf_spot,leaf_disease,False,0,agriculture,train
Potato___Early_blight__5fd6c76a-1e89-4991-9991-2b61670d5175___RS_Early.B 8208.JPG,Potato___Early_blight,fungal_blight,False,0,agriculture,train
Tomato__Target_Spot__560f3784-7701-42d8-8e0d-ae72591e7b56___Com.G_TgS_FL 7940.JPG,Tomato__Target_Spot,leaf_disease,False,0,agriculture,train
Pepper__bell___healthy__97e29df2-816f-4455-8ece-783d40f39de5___JR_HL 5886.JPG,Pepper__bell___healthy,crop_healthy,True,1,agriculture,train
Tomato_healthy__07cb5416-a029-467f-a306-252c2a64d2e6___RS_HL 0543.JPG,Tomato_healthy,crop_healthy,True,1,agriculture,train
Tomato__Tomato_mosaic_virus__21fe0741-4ff6-4f8f-8969-6b8bdeea58fa___PSU_CG 2278.JPG,Tomato__Tomato_mosaic_virus,viral_infection,False,0,agriculture,train
Potato___healthy__f66af6c0-6fc6-4020-b1de-a73685d497c2___RS_HL 4181.JPG,Potato___healthy,crop_healthy,True,1,agriculture,train
Tomato__Tomato_mosaic_virus__c5132603-ce86-45c0-b9f9-d35c07f4057f___PSU_CG 2256.JPG,Tomato__Tomato_mosaic_virus,viral_infection,False,0,agriculture,train
Pepper__bell___Bacterial_spot__dab1cfaf-544d-48e0-bfe7-368d65761902___JR_B.Spot 8904.JPG,Pepper__bell___Bacterial_spot,bacterial_infection,False,0,agriculture,train
Tomato_healthy__14d46dfe-5348-428c-af6b-82b6625ce6c3___GH_HL Leaf 483.1.JPG,Tomato_healthy,crop_healthy,True,1,agriculture,train
Tomato_Bacterial_spot__23f67e39-1b4b-4296-a8a2-2a15890d0529___GCREC_Bact.Sp 3364.JPG,Tomato_Bacterial_spot,bacterial_infection,False,0,agriculture,train
Tomato_Bacterial_spot__0e3ded7b-0b9e-4c11-9db7-38eba7e0bdb2___GCREC_Bact.Sp 3598.JPG,Tomato_Bacterial_spot,bacterial_infection,False,0,agriculture,train
Potato___healthy__0f4ebc5a-d646-436a-919d-961342997cde___RS_HL 4183.JPG,Potato___healthy,crop_healthy,True,1,agriculture,train
